Product_Name,Size,Milk,Whip,Serving_Size_ml,Calories,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbohydrates_g,Dietary_Fiber_g,Sugar_g,Protein_g,Vitamin_A_%DV,Vitamin_C_%DV,Calcium_%DV,Iron_%DV,Caffiene_milligrams
Caffè Misto,Tall,Soy,No Whip,354,60,2.5,0.3,0,0,60,5,1,4,4,6,0,20,8,115
Caffè Misto,Tall,Coconut,No Whip,354,60,3.5,3.5,0,0,70,6,0,5,1,0,0,0,0,115
Caffè Misto,Grande,Nonfat,No Whip,473,70,0.2,0.1,0,5,90,10,0,10,7,15,0,25,0,150
Caffè Misto,Grande,Whole,No Whip,473,130,7,4,0.2,20,95,10,0,10,7,10,0,20,0,150
Caffè Misto,Grande,Soy,No Whip,473,80,3,0.4,0,0,80,6,1,5,6,8,0,25,10,150
Caffè Misto,Venti®,Nonfat,No Whip,591,90,0.3,0.2,0,5,115,13,0,13,9,15,0,30,0,195
Caffè Misto,Venti®,Whole,No Whip,591,160,9,5,0.3,25,120,13,0,13,9,10,0,25,0,195
Caffè Misto,Venti®,Soy,No Whip,591,100,4,0.5,0,0,100,8,1,6,7,10,0,30,15,195
Caffè Misto,Venti®,Coconut,No Whip,591,80,5,4.5,0,0,90,7,0,7,1,0,0,0,0,195
Clover® Brewed Coffee - Dark Roast,Short,No Milk,No Whip,236,10,0,0,0,0,5,0,0,0,0,0,0,0,0,190
Clover® Brewed Coffee - Dark Roast,Tall,No Milk,No Whip,354,10,0,0,0,0,10,0,0,0,0,0,0,0,0,280
Clover® Brewed Coffee - Dark Roast,Grande,No Milk,No Whip,473,10,0,0,0,0,10,0,0,0,1,0,0,0,0,380
Clover® Brewed Coffee - Light Roast,Short,No Milk,No Whip,236,10,0,0,0,0,5,0,0,0,0,0,0,0,0,155
Clover® Brewed Coffee - Light Roast,Grande,No Milk,No Whip,473,10,0,0,0,0,10,0,0,0,1,0,0,0,0,340
Clover® Brewed Coffee - Light Roast,Venti®,No Milk,No Whip,591,10,0,0,0,0,10,0,0,0,1,0,0,0,0,425
Clover® Brewed Coffee - Medium Roast,Short,No Milk,No Whip,236,10,0,0,0,0,5,0,0,0,0,0,0,0,0,170
Clover® Brewed Coffee - Medium Roast,Tall,No Milk,No Whip,354,10,0,0,0,0,10,0,0,0,0,0,0,0,0,280
Clover® Brewed Coffee - Medium Roast,Grande,No Milk,No Whip,473,10,0,0,0,0,10,0,0,0,1,0,0,0,0,375
Clover® Brewed Coffee - Medium Roast,Venti®,No Milk,No Whip,591,10,0,0,0,0,10,0,0,0,1,0,0,0,0,445
Iced Coffee,Tall,No Milk,No Whip,354,60,0,0,0,0,10,15,0,15,0.2,0,0,0,0,120
Iced Coffee,Grande,No Milk,No Whip,473,80,0.1,0,0,0,10,20,0,20,0.3,0,0,2,0,165
Iced Coffee,Venti®,No Milk,No Whip,709,120,0.1,0,0,0,15,30,0,30,0.4,0,0,2,0,235
Iced Coffee,Trenta,No Milk,No Whip,887,160,0.1,0,0,0,15,40,0,39,1,0,0,2,0,280
Iced Coffee with Milk,Tall,Nonfat,No Whip,354,80,0.1,0,0,0,30,17,0,17,2,2,0,6,0,90
Iced Coffee with Milk,Tall,2%,No Whip,354,80,1,0.5,0,5,30,17,0,17,2,2,0,6,0,90
Iced Coffee with Milk,Tall,Whole,No Whip,354,90,1.5,1,0,5,30,17,0,17,2,2,0,6,0,90
Iced Coffee with Milk,Tall,Soy,No Whip,354,80,1,0.1,0,0,25,16,0,16,2,2,0,6,2,90
Iced Coffee with Milk,Tall,Coconut,No Whip,354,80,1,1,0,0,25,17,0,16,0.3,0,0,0,0,110
Iced Coffee with Milk,Grande,Nonfat,No Whip,473,100,0.1,0,0,0,35,23,0,23,2,4,0,8,0,125
Iced Coffee with Milk,Grande,2%,No Whip,473,110,1.5,1,0.1,5,40,23,0,23,2,4,0,8,0,125
Iced Coffee with Milk,Grande,Whole,No Whip,473,120,2,1,0.1,5,35,23,0,23,2,2,0,8,0,125
Iced Coffee with Milk,Grande,Soy,No Whip,473,110,1,0.1,0,0,35,22,0,21,2,2,0,8,4,125
Iced Coffee with Milk,Grande,Coconut,No Whip,473,100,1.5,1.5,0,0,35,22,0,22,0.4,0,0,0,0,150
Iced Coffee with Milk,Venti®,Nonfat,No Whip,709,160,0.1,0.1,0,0,60,35,0,35,4,6,0,15,0,170
Iced Coffee with Milk,Venti®,2%,No Whip,709,170,2,1.5,0.1,10,65,35,0,35,4,6,0,15,0,170
Iced Coffee with Milk,Venti®,Whole,No Whip,709,190,3.5,2,0.1,10,60,35,0,35,4,4,0,10,0,170
Iced Coffee with Milk,Venti®,Soy,No Whip,709,160,1.5,0.2,0,0,55,33,0,32,3,4,0,15,6,170
Iced Coffee with Milk,Venti®,Coconut,No Whip,709,160,2.5,2,0,0,55,33,0,33,1,0,0,2,0,205
Iced Coffee with Milk,Trenta,Nonfat,No Whip,887,210,0.2,0.1,0,5,70,46,0,46,5,8,0,15,0,190
Iced Coffee with Milk,Trenta,2%,No Whip,887,230,3,1.5,0.1,10,80,46,0,46,5,8,0,15,0,190
Iced Coffee with Milk,Trenta,Whole,No Whip,887,240,4.5,2.5,0.1,15,75,46,0,46,5,6,0,15,0,190
Iced Coffee with Milk,Trenta,Soy,No Whip,887,220,2,0.3,0,0,65,44,1,43,4,6,0,15,8,190
Iced Coffee with Milk,Trenta,Coconut,No Whip,887,210,3,3,0,0,70,44,0,44,1,0,0,2,0,190
Cold Brewed Coffee,Tall,No Milk,No Whip,354,2,0,0,0,0,10,0,0,0,0.1,0,0,0,0,150
Cold Brewed Coffee,Grande,No Milk,No Whip,473,3,0,0,0,0,15,0,0,0,0.2,0,0,2,0,200
Cold Brewed Coffee,Venti®,No Milk,No Whip,709,4,0,0,0,0,20,0,0,0,0.3,0,0,2,0,300
Cold Brewed Coffee,Trenta,No Milk,No Whip,887,5,0,0,0,0,25,0,0,0,0.3,0,0,2,0,330
Vanilla Sweet Cream Cold Brew,Tall,No Milk,No Whip,354,100,6,3.5,0.2,20,20,12,0,12,1,6,0,2,0,140
Vanilla Sweet Cream Cold Brew,Grande,No Milk,No Whip,473,110,6,3.5,0.2,20,25,14,0,14,1,6,0,4,0,185
Vanilla Sweet Cream Cold Brew,Venti®,No Milk,No Whip,709,200,11,7,0.3,40,40,24,0,24,1,15,0,6,0,275
Vanilla Sweet Cream Cold Brew,Trenta,No Milk,No Whip,887,210,11,7,0.3,40,45,26,0,26,2,15,0,6,0,320
Caffè Americano,Tall,No Milk,No Whip,354,10,0,0,0,0,10,2,0,0,1,0,0,2,0,150
Caffè Americano,Grande,No Milk,No Whip,473,15,0,0,0,0,15,3,0,0,1,0,0,2,0,225
Caffè Americano,Venti®,No Milk,No Whip,591,25,0,0,0,0,15,4,0,0,1,0,0,2,0,300
Iced Caffè Americano,Tall,No Milk,No Whip,354,10,0,0,0,0,10,2,0,0,1,0,0,2,0,150
Iced Caffè Americano,Grande,No Milk,No Whip,473,15,0,0,0,0,15,3,0,0,1,0,0,2,0,225
Iced Caffè Americano,Venti®,No Milk,No Whip,709,25,0,0,0,0,20,4,0,0,1,0,0,2,0,300
Caffè Latte,Short,Nonfat,No Whip,236,70,0.1,0.1,0,5,75,10,0,9,6,10,0,20,0,75
Caffè Latte,Short,2%,No Whip,236,100,3.5,2.5,0.2,15,85,10,0,9,6,10,0,20,0,75
Caffè Latte,Short,Whole,No Whip,236,110,6,3.5,0.2,20,75,10,0,9,6,8,0,20,0,75
Caffè Latte,Short,Soy,No Whip,236,70,2.5,0.4,0,0,65,6,1,4,5,6,0,20,8,75
Caffè Latte,Short,Coconut,No Whip,236,70,4,4,0,0,75,7,0,6,1,0,0,0,0,75
Caffè Latte,Tall,Nonfat,No Whip,354,100,0.2,0.2,0,5,120,15,0,14,10,15,0,30,0,75
Caffè Latte,Tall,2%,No Whip,354,150,6,3.5,0.2,25,135,15,0,14,10,15,0,30,0,75
Caffè Latte,Tall,Whole,No Whip,354,180,9,5,0.3,30,125,15,0,14,9,15,0,30,0,75
Caffè Latte,Tall,Soy,No Whip,354,110,4.5,0.5,0,0,105,10,1,6,8,10,0,30,15,75
Caffè Latte,Tall,Coconut,No Whip,354,110,7,6,0,0,120,11,0,10,1,0,0,0,0,75
Caffè Latte,Grande,Nonfat,No Whip,473,130,0.3,0.2,0,5,150,19,0,18,13,20,0,40,0,150
Caffè Latte,Grande,2%,No Whip,473,190,7,4.5,0.3,30,170,19,0,17,12,20,2,40,0,150
Caffè Latte,Grande,Whole,No Whip,473,230,11,7,0.3,35,150,19,0,17,12,15,0,35,0,150
Caffè Latte,Grande,Soy,No Whip,473,150,5,0.5,0,0,130,13,1,8,10,15,0,40,15,150
Caffè Latte,Grande,Coconut,No Whip,473,140,8,8,0,0,150,14,0,12,1,0,0,0,0,150
Caffè Latte,Venti®,Nonfat,No Whip,591,170,0.4,0.3,0,10,190,25,0,23,16,30,0,50,0,150
Caffè Latte,Venti®,2%,No Whip,591,240,9,6,0.4,35,220,24,0,22,16,25,2,50,0,150
Caffè Latte,Venti®,Whole,No Whip,591,290,15,9,0.5,45,200,24,0,22,15,20,0,50,0,150
Caffè Latte,Venti®,Soy,No Whip,591,190,7,1,0,0,170,16,2,11,13,20,0,50,25,150
Caffè Latte,Venti®,Coconut,No Whip,591,170,11,10,0,0,200,18,0,16,2,0,0,0,0,150
Iced Caffè Latte,Tall,Nonfat,No Whip,354,70,0.1,0.1,0,5,80,10,0,9,6,10,0,20,0,75
Iced Caffè Latte,Tall,2%,No Whip,354,100,3.5,2,0.1,15,90,10,0,9,6,10,0,20,0,75
Iced Caffè Latte,Tall,Whole,No Whip,354,120,6,3.5,0.2,20,85,10,0,9,6,8,0,20,0,75
Iced Caffè Latte,Tall,Soy,No Whip,354,80,3,0.4,0,0,75,7,1,4,5,8,0,20,10,75
Iced Caffè Latte,Tall,Coconut,No Whip,354,70,4,4,0,0,80,7,0,6,1,0,0,0,0,75
Iced Caffè Latte,Grande,Nonfat,No Whip,473,90,0.2,0.1,0,5,105,13,0,11,8,15,0,25,0,150
Iced Caffè Latte,Grande,2%,No Whip,473,130,4.5,2.5,0.1,20,115,13,0,11,8,15,0,25,0,150
Iced Caffè Latte,Grande,Whole,No Whip,473,150,7,4.5,0.2,25,105,13,0,11,8,10,0,25,0,150
Iced Caffè Latte,Grande,Soy,No Whip,473,100,3.5,0.5,0,0,95,9,1,5,7,10,0,25,10,150
Iced Caffè Latte,Grande,Coconut,No Whip,473,90,5,5,0,0,105,10,0,8,1,0,0,0,0,150
Iced Caffè Latte,Venti®,Nonfat,No Whip,709,130,0.3,0.2,0,5,140,19,0,16,12,20,0,35,0,225
Iced Caffè Latte,Venti®,2%,No Whip,709,180,6,3,0.2,25,160,18,0,15,12,20,2,35,0,225
Iced Caffè Latte,Venti®,Whole,No Whip,709,210,10,6,0.3,30,150,18,0,15,11,15,0,35,0,225
Iced Caffè Latte,Venti®,Soy,No Whip,709,150,5,0.5,0,0,130,13,1,8,10,15,0,40,15,225
Iced Caffè Latte,Venti®,Coconut,No Whip,709,130,7,7,0,0,150,14,0,11,2,0,0,2,0,225
Caffè Mocha,Short,Nonfat,No Whip,236,120,1.5,1,0,5,65,21,2,17,7,8,0,15,15,90
Caffè Mocha,Short,Nonfat,Whip,236,180,6,4,0.2,20,70,23,2,18,7,15,0,20,15,90
Caffè Mocha,Short,2%,No Whip,236,150,4,2.5,0.1,10,70,21,2,17,7,8,0,15,15,90
Caffè Mocha,Short,2%,Whip,236,200,9,6,0.3,30,75,22,2,18,7,15,0,20,15,90
Caffè Mocha,Short,Whole,No Whip,236,160,6,3.5,0.1,15,65,21,2,17,6,6,0,15,15,90
Caffè Mocha,Short,Whole,Whip,236,210,11,7,0.3,35,70,22,2,18,7,15,0,15,15,90
Caffè Mocha,Short,Soy,No Whip,236,130,3.5,1,0,0,55,18,3,13,6,6,0,15,25,90
Caffè Mocha,Short,Soy,Whip,236,180,9,4,0.2,20,60,20,3,14,6,10,0,20,25,90
Caffè Mocha,Short,Coconut,No Whip,236,130,4.5,4,0,0,65,19,2,15,2,0,0,0,15,90
Caffè Mocha,Short,Coconut,Whip,236,180,10,7,0.2,20,70,21,2,16,2,6,0,2,15,90
Caffè Mocha,Tall,Nonfat,No Whip,354,190,2,1,0,5,100,32,3,27,10,15,0,30,25,95
Caffè Mocha,Tall,Nonfat,Whip,354,250,8,5,0.2,25,110,34,3,28,11,20,0,30,25,95
Caffè Mocha,Tall,2%,No Whip,354,230,6,4,0.2,20,115,32,3,26,10,15,0,25,25,95
Caffè Mocha,Tall,2%,Whip,354,290,13,8,0.4,40,120,34,3,28,11,20,2,30,25,95
Caffè Mocha,Tall,Whole,No Whip,354,250,9,6,0.2,25,105,32,3,26,10,10,0,25,25,95
Caffè Mocha,Tall,Whole,Whip,354,310,16,9,0.4,45,110,34,3,28,10,20,0,25,25,95
Caffè Mocha,Tall,Soy,No Whip,354,200,5,1.5,0,0,90,28,4,20,9,10,0,25,35,95
Caffè Mocha,Tall,Soy,Whip,354,260,11,5,0.2,25,95,30,4,22,9,15,0,30,35,95
Caffè Mocha,Tall,Coconut,No Whip,354,190,7,6,0,0,105,29,3,23,3,0,0,2,25,95
Caffè Mocha,Tall,Coconut,Whip,354,250,13,10,0.2,25,110,30,3,25,3,6,0,2,25,95
Caffè Mocha,Grande,Nonfat,No Whip,473,250,2.5,1.5,0,5,125,42,4,34,13,20,0,35,35,175
Caffè Mocha,Grande,Nonfat,Whip,473,320,10,6,0.2,30,135,44,4,36,14,25,0,35,35,175
Caffè Mocha,Grande,2%,No Whip,473,290,8,5,0.2,25,140,42,4,34,13,15,2,35,35,175
Caffè Mocha,Grande,2%,Whip,473,360,15,9,0.5,50,150,44,4,35,13,25,2,35,35,175
Caffè Mocha,Grande,Whole,No Whip,473,330,12,7,0.3,30,130,42,4,34,13,15,0,30,35,175
Caffè Mocha,Grande,Whole,Whip,473,400,19,11,0.5,55,135,44,4,35,13,20,0,35,35,175
Caffè Mocha,Grande,Soy,No Whip,473,260,7,2,0,0,110,37,5,26,11,10,0,35,50,175
Caffè Mocha,Grande,Soy,Whip,473,330,14,6,0.2,25,115,39,5,28,12,20,0,35,50,175
Caffè Mocha,Grande,Coconut,No Whip,473,250,9,8,0,0,130,38,4,30,4,0,0,2,35,175
Caffè Mocha,Grande,Coconut,Whip,473,320,16,12,0.2,25,135,40,4,32,4,8,0,2,35,175
Caffè Mocha,Venti®,Nonfat,No Whip,591,310,3.5,2,0,10,170,54,5,44,17,25,0,45,40,185
Caffè Mocha,Venti®,Nonfat,Whip,591,390,10,6,0.2,35,170,56,5,45,18,30,0,45,40,185
Caffè Mocha,Venti®,2%,No Whip,591,380,11,7,0.3,30,190,53,5,43,17,20,2,45,40,185
Caffè Mocha,Venti®,2%,Whip,591,450,18,11,0.5,55,190,55,5,45,17,30,2,45,40,185
Caffè Mocha,Venti®,Whole,No Whip,591,420,16,9,0.4,40,170,53,5,43,16,20,0,40,40,185
Caffè Mocha,Venti®,Whole,Whip,591,490,23,13,0.5,65,180,55,5,45,17,25,0,45,40,185
Caffè Mocha,Venti®,Soy,No Whip,591,330,9,2.5,0,0,140,46,6,34,15,15,0,45,60,185
Caffè Mocha,Venti®,Soy,Whip,591,400,16,7,0.2,25,150,48,6,35,15,25,0,45,60,185
Caffè Mocha,Venti®,Coconut,No Whip,591,320,12,10,0,0,170,48,5,38,5,0,0,2,40,185
Caffè Mocha,Venti®,Coconut,Whip,591,390,19,15,0.2,25,180,50,5,40,5,8,0,4,40,185
Iced Caffè Mocha,Tall,Nonfat,No Whip,354,150,2,1,0,5,65,27,3,22,7,8,0,15,25,95
Iced Caffè Mocha,Tall,Nonfat,Whip,354,240,10,6,0.2,30,75,30,3,23,7,15,0,20,25,95
Iced Caffè Mocha,Tall,2%,No Whip,354,180,4.5,3,0.1,10,70,27,3,21,7,8,0,15,25,95
Iced Caffè Mocha,Tall,2%,Whip,354,260,12,8,0.4,40,80,29,3,23,7,15,0,20,25,95
Iced Caffè Mocha,Tall,Whole,No Whip,354,190,6,3.5,0.1,15,65,27,3,21,7,6,0,15,25,95
Iced Caffè Mocha,Tall,Whole,Whip,354,270,14,9,0.4,45,75,29,3,23,7,15,0,15,25,95
Iced Caffè Mocha,Tall,Soy,No Whip,354,160,4,1.5,0,0,60,25,3,18,6,6,0,15,30,95
Iced Caffè Mocha,Tall,Soy,Whip,354,240,12,6,0.2,30,65,27,3,20,7,15,0,20,30,95
Iced Caffè Mocha,Tall,Coconut,No Whip,354,150,5,4,0,0,65,25,3,19,3,0,0,2,25,95
Iced Caffè Mocha,Tall,Coconut,Whip,354,240,13,9,0.2,30,70,27,3,22,3,10,0,2,25,95
Iced Caffè Mocha,Grande,Nonfat,No Whip,473,200,2.5,1.5,0,5,80,36,4,28,9,10,0,20,35,175
Iced Caffè Mocha,Grande,Nonfat,Whip,473,320,14,8,0.3,45,90,40,4,30,10,25,0,25,35,175
Iced Caffè Mocha,Grande,2%,No Whip,473,230,6,3.5,0.1,15,90,36,4,28,9,10,0,20,35,175
Iced Caffè Mocha,Grande,2%,Whip,473,350,17,11,0.5,55,100,39,4,30,10,20,0,20,35,175
Iced Caffè Mocha,Grande,Whole,No Whip,473,250,8,4.5,0.2,15,80,36,4,28,9,8,0,20,35,175
Iced Caffè Mocha,Grande,Whole,Whip,473,360,19,12,0.5,60,95,39,4,30,9,20,0,20,35,175
Iced Caffè Mocha,Grande,Soy,No Whip,473,210,5,2,0,0,75,33,5,24,8,6,0,20,40,175
Iced Caffè Mocha,Grande,Soy,Whip,473,330,16,9,0.3,40,85,37,5,26,9,20,0,25,40,175
Iced Caffè Mocha,Grande,Coconut,No Whip,473,210,6,5,0,0,80,34,4,26,4,0,0,2,35,175
Iced Caffè Mocha,Grande,Coconut,Whip,473,320,18,12,0.3,40,95,37,4,29,4,15,0,4,35,175
Iced Caffè Mocha,Venti®,Nonfat,No Whip,709,300,3.5,2.5,0,5,110,53,6,41,13,15,0,30,50,265
Iced Caffè Mocha,Venti®,Nonfat,Whip,709,410,15,9,0.3,45,120,57,6,43,14,25,0,30,50,265
Iced Caffè Mocha,Venti®,2%,No Whip,709,340,8,5,0.2,20,120,53,6,41,13,15,0,30,50,265
Iced Caffè Mocha,Venti®,2%,Whip,709,450,19,12,0.5,60,130,56,6,43,13,25,2,30,50,265
Iced Caffè Mocha,Venti®,Whole,No Whip,709,360,11,6,0.2,25,110,53,6,41,12,10,0,25,50,265
Iced Caffè Mocha,Venti®,Whole,Whip,709,470,22,13,0.5,65,125,56,6,43,13,25,0,30,50,265
Iced Caffè Mocha,Venti®,Soy,No Whip,709,310,7,2.5,0,0,100,49,7,35,12,10,0,30,60,265
Iced Caffè Mocha,Venti®,Soy,Whip,709,430,18,10,0.3,40,110,53,7,37,12,20,0,30,60,265
Iced Caffè Mocha,Venti®,Coconut,No Whip,709,300,9,7,0,0,115,50,6,38,5,0,0,4,50,265
Iced Caffè Mocha,Venti®,Coconut,Whip,709,420,20,14,0.3,40,125,53,6,41,6,15,0,6,50,265
Cappuccino,Short,Nonfat,No Whip,236,50,0.1,0.1,0,5,60,8,0,7,5,8,0,15,0,75
Cappuccino,Short,2%,No Whip,236,80,3,1.5,0.1,10,70,8,0,7,5,8,0,15,0,75
Cappuccino,Short,Whole,No Whip,236,90,4.5,2.5,0.1,15,60,8,0,7,5,6,0,15,0,75
Cappuccino,Short,Soy,No Whip,236,50,1.5,0.2,0,0,40,4,0,3,3,4,0,10,6,75
Cappuccino,Short,Coconut,No Whip,236,70,4,4,0,0,75,7,0,6,1,0,0,0,0,75
Cappuccino,Tall,Nonfat,No Whip,354,60,0.1,0.1,0,5,70,9,0,8,6,10,0,20,0,75
Cappuccino,Tall,2%,No Whip,354,90,3.5,1.5,0.1,15,80,9,0,8,6,10,0,20,0,75
Cappuccino,Tall,Whole,No Whip,354,110,6,3,0.2,15,75,9,0,8,6,8,0,20,0,75
Cappuccino,Tall,Soy,No Whip,354,70,3,0.4,0,0,65,7,1,4,5,6,0,20,8,75
Cappuccino,Tall,Coconut,No Whip,354,100,6,6,0,0,115,11,0,9,1,0,0,0,0,75
Cappuccino,Grande,Nonfat,No Whip,473,80,0.2,0.1,0,5,90,12,0,10,8,15,0,25,0,150
Cappuccino,Grande,2%,No Whip,473,120,4,2,0.1,15,100,12,0,10,8,10,0,25,0,150
Cappuccino,Grande,Whole,No Whip,473,140,7,4,0.2,20,90,12,0,10,7,10,0,20,0,150
Cappuccino,Grande,Soy,No Whip,473,100,3.5,0.4,0,0,80,9,1,5,7,8,0,25,10,150
Cappuccino,Grande,Coconut,No Whip,473,130,8,8,0,0,150,14,0,12,1,0,0,0,0,150
Cappuccino,Venti®,Nonfat,No Whip,591,110,0.2,0.2,0,5,120,16,0,14,10,20,0,30,0,150
Cappuccino,Venti®,2%,No Whip,591,150,6,3,0.2,25,135,16,0,14,10,15,0,30,0,150
Cappuccino,Venti®,Whole,No Whip,591,190,9,5,0.3,30,125,16,0,14,10,15,0,30,0,150
Cappuccino,Venti®,Soy,No Whip,591,120,4.5,0.5,0,0,110,11,1,7,9,10,0,35,15,150
Cappuccino,Venti®,Coconut,No Whip,591,170,10,10,0,0,190,18,0,15,2,0,0,0,0,150
Caramel Macchiato,Short,Nonfat,No Whip,236,100,1,0.5,0,5,70,16,0,15,5,10,0,15,0,75
Caramel Macchiato,Short,2%,No Whip,236,120,4,2.5,0.1,15,80,16,0,15,5,10,0,15,0,75
Caramel Macchiato,Short,Whole,No Whip,236,140,6,3.5,0.1,20,70,16,0,15,5,8,0,15,0,75
Caramel Macchiato,Short,Soy,No Whip,236,100,3,1,0,0,60,14,1,11,4,6,0,15,8,75
Caramel Macchiato,Short,Coconut,No Whip,236,100,4,3.5,0,0,70,14,0,13,1,0,0,0,0,75
Caramel Macchiato,Tall,Nonfat,No Whip,354,150,1.5,1,0,10,105,27,0,25,8,15,0,25,0,75
Caramel Macchiato,Tall,2%,No Whip,354,190,6,3.5,0.2,20,120,26,0,25,8,15,0,25,0,75
Caramel Macchiato,Tall,Whole,No Whip,354,210,9,5,0.2,25,110,26,0,25,8,10,0,25,0,75
Caramel Macchiato,Tall,Soy,No Whip,354,160,4.5,1,0,5,95,22,1,19,6,10,0,25,10,75
Caramel Macchiato,Tall,Coconut,No Whip,354,150,6,6,0,5,105,23,0,21,1,2,0,0,0,75
Caramel Macchiato,Grande,Nonfat,No Whip,473,200,1.5,1,0,10,135,36,0,34,11,20,0,35,0,150
Caramel Macchiato,Grande,2%,No Whip,473,250,7,4.5,0.2,25,150,35,0,33,10,20,2,30,0,150
Caramel Macchiato,Grande,Whole,No Whip,473,280,11,6,0.3,35,140,35,0,33,10,15,0,30,0,150
Caramel Macchiato,Grande,Soy,No Whip,473,210,6,1.5,0,5,120,30,1,26,9,15,0,35,15,150
Caramel Macchiato,Grande,Coconut,No Whip,473,200,8,7,0,5,130,32,0,29,1,2,0,0,0,150
Caramel Macchiato,Venti®,Nonfat,No Whip,591,250,1.5,1,0,10,170,45,0,42,13,25,0,40,0,150
Caramel Macchiato,Venti®,2%,No Whip,591,310,9,6,0.3,35,190,44,0,42,13,20,2,40,0,150
Caramel Macchiato,Venti®,Whole,No Whip,591,350,13,8,0.4,40,170,44,0,42,12,20,0,40,0,150
Caramel Macchiato,Venti®,Soy,No Whip,591,260,7,1.5,0,5,150,38,1,33,11,15,0,40,20,150
Caramel Macchiato,Venti®,Coconut,No Whip,591,250,10,9,0,5,170,39,0,36,1,2,0,0,0,150
Iced Caramel Macchiato,Tall,Nonfat,No Whip,354,140,1.5,1,0,10,100,26,0,24,7,15,0,25,0,75
Iced Caramel Macchiato,Tall,2%,No Whip,354,180,5,3.5,0.2,20,110,26,0,24,7,10,0,20,0,75
