,Product_Name,Size,Milk,Whip,Serving_Size_ml,Calories,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbohydrates_g,Dietary_Fiber_g,Sugar_g,Protein_g,Vitamin_A_%DV,Vitamin_C_%DV,Calcium_%DV,Iron_%DV,Caffeine_mg
34,Caffè Misto,Venti®,Soy,No Whip,591.0,100.0,4.0,0.5,0.0,0.0,100.0,8.0,1.0,6.0,7.0,10.0,0.0,30.0,15.0,195.0
35,Caffè Misto,Venti®,Coconut,No Whip,591.0,80.0,5.0,4.5,0.0,0.0,90.0,7.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,195.0
36,Clover® Brewed Coffee - Dark Roast,Short,No Milk,No Whip,236.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0
37,Clover® Brewed Coffee - Dark Roast,Tall,No Milk,No Whip,354.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0
38,Clover® Brewed Coffee - Dark Roast,Grande,No Milk,No Whip,473.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,380.0
39,Clover® Brewed Coffee - Light Roast,Short,No Milk,No Whip,236.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0
40,Clover® Brewed Coffee - Light Roast,Grande,No Milk,No Whip,473.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,340.0
41,Clover® Brewed Coffee - Light Roast,Venti®,No Milk,No Whip,591.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,425.0
42,Clover® Brewed Coffee - Medium Roast,Short,No Milk,No Whip,236.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0
43,Clover® Brewed Coffee - Medium Roast,Tall,No Milk,No Whip,354.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0
44,Clover® Brewed Coffee - Medium Roast,Grande,No Milk,No Whip,473.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,375.0
45,Clover® Brewed Coffee - Medium Roast,Venti®,No Milk,No Whip,591.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,445.0
46,Iced Coffee,Tall,No Milk,No Whip,354.0,60.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,120.0
47,Iced Coffee,Grande,No Milk,No Whip,473.0,80.0,0.1,0.0,0.0,0.0,10.0,20.0,0.0,20.0,0.3,0.0,0.0,2.0,0.0,165.0
48,Iced Coffee,Venti®,No Milk,No Whip,709.0,120.0,0.1,0.0,0.0,0.0,15.0,30.0,0.0,30.0,0.4,0.0,0.0,2.0,0.0,235.0
49,Iced Coffee,Trenta,No Milk,No Whip,887.0,160.0,0.1,0.0,0.0,0.0,15.0,40.0,0.0,39.0,1.0,0.0,0.0,2.0,0.0,280.0
50,Iced Coffee with Milk,Tall,Nonfat,No Whip,354.0,80.0,0.1,0.0,0.0,0.0,30.0,17.0,0.0,17.0,2.0,2.0,0.0,6.0,0.0,90.0
51,Iced Coffee with Milk,Tall,2%,No Whip,354.0,80.0,1.0,0.5,0.0,5.0,30.0,17.0,0.0,17.0,2.0,2.0,0.0,6.0,0.0,90.0
52,Iced Coffee with Milk,Tall,Whole,No Whip,354.0,90.0,1.5,1.0,0.0,5.0,30.0,17.0,0.0,17.0,2.0,2.0,0.0,6.0,0.0,90.0
53,Iced Coffee with Milk,Tall,Soy,No Whip,354.0,80.0,1.0,0.1,0.0,0.0,25.0,16.0,0.0,16.0,2.0,2.0,0.0,6.0,2.0,90.0
54,Iced Coffee with Milk,Tall,Coconut,No Whip,354.0,80.0,1.0,1.0,0.0,0.0,25.0,17.0,0.0,16.0,0.3,0.0,0.0,0.0,0.0,110.0
55,Iced Coffee with Milk,Grande,Nonfat,No Whip,473.0,100.0,0.1,0.0,0.0,0.0,35.0,23.0,0.0,23.0,2.0,4.0,0.0,8.0,0.0,125.0
56,Iced Coffee with Milk,Grande,2%,No Whip,473.0,110.0,1.5,1.0,0.1,5.0,40.0,23.0,0.0,23.0,2.0,4.0,0.0,8.0,0.0,125.0
57,Iced Coffee with Milk,Grande,Whole,No Whip,473.0,120.0,2.0,1.0,0.1,5.0,35.0,23.0,0.0,23.0,2.0,2.0,0.0,8.0,0.0,125.0
58,Iced Coffee with Milk,Grande,Soy,No Whip,473.0,110.0,1.0,0.1,0.0,0.0,35.0,22.0,0.0,21.0,2.0,2.0,0.0,8.0,4.0,125.0
59,Iced Coffee with Milk,Grande,Coconut,No Whip,473.0,100.0,1.5,1.5,0.0,0.0,35.0,22.0,0.0,22.0,0.4,0.0,0.0,0.0,0.0,150.0
60,Iced Coffee with Milk,Venti®,Nonfat,No Whip,709.0,160.0,0.1,0.1,0.0,0.0,60.0,35.0,0.0,35.0,4.0,6.0,0.0,15.0,0.0,170.0
61,Iced Coffee with Milk,Venti®,2%,No Whip,709.0,170.0,2.0,1.5,0.1,10.0,65.0,35.0,0.0,35.0,4.0,6.0,0.0,15.0,0.0,170.0
62,Iced Coffee with Milk,Venti®,Whole,No Whip,709.0,190.0,3.5,2.0,0.1,10.0,60.0,35.0,0.0,35.0,4.0,4.0,0.0,10.0,0.0,170.0
63,Iced Coffee with Milk,Venti®,Soy,No Whip,709.0,160.0,1.5,0.2,0.0,0.0,55.0,33.0,0.0,32.0,3.0,4.0,0.0,15.0,6.0,170.0
64,Iced Coffee with Milk,Venti®,Coconut,No Whip,709.0,160.0,2.5,2.0,0.0,0.0,55.0,33.0,0.0,33.0,1.0,0.0,0.0,2.0,0.0,205.0
65,Iced Coffee with Milk,Trenta,Nonfat,No Whip,887.0,210.0,0.2,0.1,0.0,5.0,70.0,46.0,0.0,46.0,5.0,8.0,0.0,15.0,0.0,190.0
66,Iced Coffee with Milk,Trenta,2%,No Whip,887.0,230.0,3.0,1.5,0.1,10.0,80.0,46.0,0.0,46.0,5.0,8.0,0.0,15.0,0.0,190.0
67,Iced Coffee with Milk,Trenta,Whole,No Whip,887.0,240.0,4.5,2.5,0.1,15.0,75.0,46.0,0.0,46.0,5.0,6.0,0.0,15.0,0.0,190.0
68,Iced Coffee with Milk,Trenta,Soy,No Whip,887.0,220.0,2.0,0.3,0.0,0.0,65.0,44.0,1.0,43.0,4.0,6.0,0.0,15.0,8.0,190.0
69,Iced Coffee with Milk,Trenta,Coconut,No Whip,887.0,210.0,3.0,3.0,0.0,0.0,70.0,44.0,0.0,44.0,1.0,0.0,0.0,2.0,0.0,190.0
70,Cold Brewed Coffee,Tall,No Milk,No Whip,354.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,150.0
71,Cold Brewed Coffee,Grande,No Milk,No Whip,473.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.2,0.0,0.0,2.0,0.0,200.0
72,Cold Brewed Coffee,Venti®,No Milk,No Whip,709.0,4.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.3,0.0,0.0,2.0,0.0,300.0
73,Cold Brewed Coffee,Trenta,No Milk,No Whip,887.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.3,0.0,0.0,2.0,0.0,330.0
74,Vanilla Sweet Cream Cold Brew,Tall,No Milk,No Whip,354.0,100.0,6.0,3.5,0.2,20.0,20.0,12.0,0.0,12.0,1.0,6.0,0.0,2.0,0.0,140.0
75,Vanilla Sweet Cream Cold Brew,Grande,No Milk,No Whip,473.0,110.0,6.0,3.5,0.2,20.0,25.0,14.0,0.0,14.0,1.0,6.0,0.0,4.0,0.0,185.0
76,Vanilla Sweet Cream Cold Brew,Venti®,No Milk,No Whip,709.0,200.0,11.0,7.0,0.3,40.0,40.0,24.0,0.0,24.0,1.0,15.0,0.0,6.0,0.0,275.0
77,Vanilla Sweet Cream Cold Brew,Trenta,No Milk,No Whip,887.0,210.0,11.0,7.0,0.3,40.0,45.0,26.0,0.0,26.0,2.0,15.0,0.0,6.0,0.0,320.0
78,Caffè Americano,Tall,No Milk,No Whip,354.0,10.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,150.0
79,Caffè Americano,Grande,No Milk,No Whip,473.0,15.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,225.0
80,Caffè Americano,Venti®,No Milk,No Whip,591.0,25.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,300.0
81,Iced Caffè Americano,Tall,No Milk,No Whip,354.0,10.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,150.0
82,Iced Caffè Americano,Grande,No Milk,No Whip,473.0,15.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,225.0
83,Iced Caffè Americano,Venti®,No Milk,No Whip,709.0,25.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,300.0
84,Caffè Latte,Short,Nonfat,No Whip,236.0,70.0,0.1,0.1,0.0,5.0,75.0,10.0,0.0,9.0,6.0,10.0,0.0,20.0,0.0,75.0
85,Caffè Latte,Short,2%,No Whip,236.0,100.0,3.5,2.5,0.2,15.0,85.0,10.0,0.0,9.0,6.0,10.0,0.0,20.0,0.0,75.0
86,Caffè Latte,Short,Whole,No Whip,236.0,110.0,6.0,3.5,0.2,20.0,75.0,10.0,0.0,9.0,6.0,8.0,0.0,20.0,0.0,75.0
87,Caffè Latte,Short,Soy,No Whip,236.0,70.0,2.5,0.4,0.0,0.0,65.0,6.0,1.0,4.0,5.0,6.0,0.0,20.0,8.0,75.0
88,Caffè Latte,Short,Coconut,No Whip,236.0,70.0,4.0,4.0,0.0,0.0,75.0,7.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,75.0
89,Caffè Latte,Tall,Nonfat,No Whip,354.0,100.0,0.2,0.2,0.0,5.0,120.0,15.0,0.0,14.0,10.0,15.0,0.0,30.0,0.0,75.0
90,Caffè Latte,Tall,2%,No Whip,354.0,150.0,6.0,3.5,0.2,25.0,135.0,15.0,0.0,14.0,10.0,15.0,0.0,30.0,0.0,75.0
91,Caffè Latte,Tall,Whole,No Whip,354.0,180.0,9.0,5.0,0.3,30.0,125.0,15.0,0.0,14.0,9.0,15.0,0.0,30.0,0.0,75.0
92,Caffè Latte,Tall,Soy,No Whip,354.0,110.0,4.5,0.5,0.0,0.0,105.0,10.0,1.0,6.0,8.0,10.0,0.0,30.0,15.0,75.0
93,Caffè Latte,Tall,Coconut,No Whip,354.0,110.0,7.0,6.0,0.0,0.0,120.0,11.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,75.0
94,Caffè Latte,Grande,Nonfat,No Whip,473.0,130.0,0.3,0.2,0.0,5.0,150.0,19.0,0.0,18.0,13.0,20.0,0.0,40.0,0.0,150.0
95,Caffè Latte,Grande,2%,No Whip,473.0,190.0,7.0,4.5,0.3,30.0,170.0,19.0,0.0,17.0,12.0,20.0,2.0,40.0,0.0,150.0
96,Caffè Latte,Grande,Whole,No Whip,473.0,230.0,11.0,7.0,0.3,35.0,150.0,19.0,0.0,17.0,12.0,15.0,0.0,35.0,0.0,150.0
97,Caffè Latte,Grande,Soy,No Whip,473.0,150.0,5.0,0.5,0.0,0.0,130.0,13.0,1.0,8.0,10.0,15.0,0.0,40.0,15.0,150.0
98,Caffè Latte,Grande,Coconut,No Whip,473.0,140.0,8.0,8.0,0.0,0.0,150.0,14.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,150.0
99,Caffè Latte,Venti®,Nonfat,No Whip,591.0,170.0,0.4,0.3,0.0,10.0,190.0,25.0,0.0,23.0,16.0,30.0,0.0,50.0,0.0,150.0
100,Caffè Latte,Venti®,2%,No Whip,591.0,240.0,9.0,6.0,0.4,35.0,220.0,24.0,0.0,22.0,16.0,25.0,2.0,50.0,0.0,150.0
101,Caffè Latte,Venti®,Whole,No Whip,591.0,290.0,15.0,9.0,0.5,45.0,200.0,24.0,0.0,22.0,15.0,20.0,0.0,50.0,0.0,150.0
102,Caffè Latte,Venti®,Soy,No Whip,591.0,190.0,7.0,1.0,0.0,0.0,170.0,16.0,2.0,11.0,13.0,20.0,0.0,50.0,25.0,150.0
103,Caffè Latte,Venti®,Coconut,No Whip,591.0,170.0,11.0,10.0,0.0,0.0,200.0,18.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,150.0
104,Iced Caffè Latte,Tall,Nonfat,No Whip,354.0,70.0,0.1,0.1,0.0,5.0,80.0,10.0,0.0,9.0,6.0,10.0,0.0,20.0,0.0,75.0
105,Iced Caffè Latte,Tall,2%,No Whip,354.0,100.0,3.5,2.0,0.1,15.0,90.0,10.0,0.0,9.0,6.0,10.0,0.0,20.0,0.0,75.0
106,Iced Caffè Latte,Tall,Whole,No Whip,354.0,120.0,6.0,3.5,0.2,20.0,85.0,10.0,0.0,9.0,6.0,8.0,0.0,20.0,0.0,75.0
107,Iced Caffè Latte,Tall,Soy,No Whip,354.0,80.0,3.0,0.4,0.0,0.0,75.0,7.0,1.0,4.0,5.0,8.0,0.0,20.0,10.0,75.0
108,Iced Caffè Latte,Tall,Coconut,No Whip,354.0,70.0,4.0,4.0,0.0,0.0,80.0,7.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,75.0
109,Iced Caffè Latte,Grande,Nonfat,No Whip,473.0,90.0,0.2,0.1,0.0,5.0,105.0,13.0,0.0,11.0,8.0,15.0,0.0,25.0,0.0,150.0
110,Iced Caffè Latte,Grande,2%,No Whip,473.0,130.0,4.5,2.5,0.1,20.0,115.0,13.0,0.0,11.0,8.0,15.0,0.0,25.0,0.0,150.0
111,Iced Caffè Latte,Grande,Whole,No Whip,473.0,150.0,7.0,4.5,0.2,25.0,105.0,13.0,0.0,11.0,8.0,10.0,0.0,25.0,0.0,150.0
112,Iced Caffè Latte,Grande,Soy,No Whip,473.0,100.0,3.5,0.5,0.0,0.0,95.0,9.0,1.0,5.0,7.0,10.0,0.0,25.0,10.0,150.0
113,Iced Caffè Latte,Grande,Coconut,No Whip,473.0,90.0,5.0,5.0,0.0,0.0,105.0,10.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,150.0
114,Iced Caffè Latte,Venti®,Nonfat,No Whip,709.0,130.0,0.3,0.2,0.0,5.0,140.0,19.0,0.0,16.0,12.0,20.0,0.0,35.0,0.0,225.0
115,Iced Caffè Latte,Venti®,2%,No Whip,709.0,180.0,6.0,3.0,0.2,25.0,160.0,18.0,0.0,15.0,12.0,20.0,2.0,35.0,0.0,225.0
116,Iced Caffè Latte,Venti®,Whole,No Whip,709.0,210.0,10.0,6.0,0.3,30.0,150.0,18.0,0.0,15.0,11.0,15.0,0.0,35.0,0.0,225.0
117,Iced Caffè Latte,Venti®,Soy,No Whip,709.0,150.0,5.0,0.5,0.0,0.0,130.0,13.0,1.0,8.0,10.0,15.0,0.0,40.0,15.0,225.0
118,Iced Caffè Latte,Venti®,Coconut,No Whip,709.0,130.0,7.0,7.0,0.0,0.0,150.0,14.0,0.0,11.0,2.0,0.0,0.0,2.0,0.0,225.0
119,Caffè Mocha,Short,Nonfat,No Whip,236.0,120.0,1.5,1.0,0.0,5.0,65.0,21.0,2.0,17.0,7.0,8.0,0.0,15.0,15.0,90.0
120,Caffè Mocha,Short,Nonfat,Whip,236.0,180.0,6.0,4.0,0.2,20.0,70.0,23.0,2.0,18.0,7.0,15.0,0.0,20.0,15.0,90.0
121,Caffè Mocha,Short,2%,No Whip,236.0,150.0,4.0,2.5,0.1,10.0,70.0,21.0,2.0,17.0,7.0,8.0,0.0,15.0,15.0,90.0
122,Caffè Mocha,Short,2%,Whip,236.0,200.0,9.0,6.0,0.3,30.0,75.0,22.0,2.0,18.0,7.0,15.0,0.0,20.0,15.0,90.0
123,Caffè Mocha,Short,Whole,No Whip,236.0,160.0,6.0,3.5,0.1,15.0,65.0,21.0,2.0,17.0,6.0,6.0,0.0,15.0,15.0,90.0
124,Caffè Mocha,Short,Whole,Whip,236.0,210.0,11.0,7.0,0.3,35.0,70.0,22.0,2.0,18.0,7.0,15.0,0.0,15.0,15.0,90.0
125,Caffè Mocha,Short,Soy,No Whip,236.0,130.0,3.5,1.0,0.0,0.0,55.0,18.0,3.0,13.0,6.0,6.0,0.0,15.0,25.0,90.0
126,Caffè Mocha,Short,Soy,Whip,236.0,180.0,9.0,4.0,0.2,20.0,60.0,20.0,3.0,14.0,6.0,10.0,0.0,20.0,25.0,90.0
127,Caffè Mocha,Short,Coconut,No Whip,236.0,130.0,4.5,4.0,0.0,0.0,65.0,19.0,2.0,15.0,2.0,0.0,0.0,0.0,15.0,90.0
128,Caffè Mocha,Short,Coconut,Whip,236.0,180.0,10.0,7.0,0.2,20.0,70.0,21.0,2.0,16.0,2.0,6.0,0.0,2.0,15.0,90.0
129,Caffè Mocha,Tall,Nonfat,No Whip,354.0,190.0,2.0,1.0,0.0,5.0,100.0,32.0,3.0,27.0,10.0,15.0,0.0,30.0,25.0,95.0
130,Caffè Mocha,Tall,Nonfat,Whip,354.0,250.0,8.0,5.0,0.2,25.0,110.0,34.0,3.0,28.0,11.0,20.0,0.0,30.0,25.0,95.0
131,Caffè Mocha,Tall,2%,No Whip,354.0,230.0,6.0,4.0,0.2,20.0,115.0,32.0,3.0,26.0,10.0,15.0,0.0,25.0,25.0,95.0
132,Caffè Mocha,Tall,2%,Whip,354.0,290.0,13.0,8.0,0.4,40.0,120.0,34.0,3.0,28.0,11.0,20.0,2.0,30.0,25.0,95.0
133,Caffè Mocha,Tall,Whole,No Whip,354.0,250.0,9.0,6.0,0.2,25.0,105.0,32.0,3.0,26.0,10.0,10.0,0.0,25.0,25.0,95.0
134,Caffè Mocha,Tall,Whole,Whip,354.0,310.0,16.0,9.0,0.4,45.0,110.0,34.0,3.0,28.0,10.0,20.0,0.0,25.0,25.0,95.0
135,Caffè Mocha,Tall,Soy,No Whip,354.0,200.0,5.0,1.5,0.0,0.0,90.0,28.0,4.0,20.0,9.0,10.0,0.0,25.0,35.0,95.0
136,Caffè Mocha,Tall,Soy,Whip,354.0,260.0,11.0,5.0,0.2,25.0,95.0,30.0,4.0,22.0,9.0,15.0,0.0,30.0,35.0,95.0
137,Caffè Mocha,Tall,Coconut,No Whip,354.0,190.0,7.0,6.0,0.0,0.0,105.0,29.0,3.0,23.0,3.0,0.0,0.0,2.0,25.0,95.0
138,Caffè Mocha,Tall,Coconut,Whip,354.0,250.0,13.0,10.0,0.2,25.0,110.0,30.0,3.0,25.0,3.0,6.0,0.0,2.0,25.0,95.0
139,Caffè Mocha,Grande,Nonfat,No Whip,473.0,250.0,2.5,1.5,0.0,5.0,125.0,42.0,4.0,34.0,13.0,20.0,0.0,35.0,35.0,175.0
140,Caffè Mocha,Grande,Nonfat,Whip,473.0,320.0,10.0,6.0,0.2,30.0,135.0,44.0,4.0,36.0,14.0,25.0,0.0,35.0,35.0,175.0
141,Caffè Mocha,Grande,2%,No Whip,473.0,290.0,8.0,5.0,0.2,25.0,140.0,42.0,4.0,34.0,13.0,15.0,2.0,35.0,35.0,175.0
142,Caffè Mocha,Grande,2%,Whip,473.0,360.0,15.0,9.0,0.5,50.0,150.0,44.0,4.0,35.0,13.0,25.0,2.0,35.0,35.0,175.0
143,Caffè Mocha,Grande,Whole,No Whip,473.0,330.0,12.0,7.0,0.3,30.0,130.0,42.0,4.0,34.0,13.0,15.0,0.0,30.0,35.0,175.0
144,Caffè Mocha,Grande,Whole,Whip,473.0,400.0,19.0,11.0,0.5,55.0,135.0,44.0,4.0,35.0,13.0,20.0,0.0,35.0,35.0,175.0
145,Caffè Mocha,Grande,Soy,No Whip,473.0,260.0,7.0,2.0,0.0,0.0,110.0,37.0,5.0,26.0,11.0,10.0,0.0,35.0,50.0,175.0
146,Caffè Mocha,Grande,Soy,Whip,473.0,330.0,14.0,6.0,0.2,25.0,115.0,39.0,5.0,28.0,12.0,20.0,0.0,35.0,50.0,175.0
147,Caffè Mocha,Grande,Coconut,No Whip,473.0,250.0,9.0,8.0,0.0,0.0,130.0,38.0,4.0,30.0,4.0,0.0,0.0,2.0,35.0,175.0
148,Caffè Mocha,Grande,Coconut,Whip,473.0,320.0,16.0,12.0,0.2,25.0,135.0,40.0,4.0,32.0,4.0,8.0,0.0,2.0,35.0,175.0
149,Caffè Mocha,Venti®,Nonfat,No Whip,591.0,310.0,3.5,2.0,0.0,10.0,170.0,54.0,5.0,44.0,17.0,25.0,0.0,45.0,40.0,185.0
150,Caffè Mocha,Venti®,Nonfat,Whip,591.0,390.0,10.0,6.0,0.2,35.0,170.0,56.0,5.0,45.0,18.0,30.0,0.0,45.0,40.0,185.0
